Actual,Predicted GB,Actual Error of GB,MAE of GB,MAPE of GB
88,86,2,0.022727273,2.272727273
88,82,6,0.068181818,6.818181818
89,86,3,0.033707865,3.370786517
90,74,16,0.177777778,17.77777778
88,84,4,0.045454545,4.545454545
85,71,14,0.164705882,16.47058824
84,71,13,0.154761905,15.47619048
86,86,0,0,0
84,76,8,0.095238095,9.523809524
82,85,3,0.036585366,3.658536585
86,87,1,0.011627907,1.162790698
80,87,7,0.0875,8.75
80,83,3,0.0375,3.75
86,88,2,0.023255814,2.325581395
88,86,2,0.022727273,2.272727273
88,71,17,0.193181818,19.31818182
88,86,2,0.022727273,2.272727273
88,90,2,0.022727273,2.272727273
90,86,4,0.044444444,4.444444444
90,84,6,0.066666667,6.666666667
90,78,12,0.133333333,13.33333333
90,71,19,0.211111111,21.11111111
86,72,14,0.162790698,16.27906977
81,71,10,0.12345679,12.34567901
82,86,4,0.048780488,4.87804878
81,84,3,0.037037037,3.703703704
83,80,3,0.036144578,3.614457831
84,84,0,0,0
86,82,4,0.046511628,4.651162791
86,82,4,0.046511628,4.651162791
84,75,9,0.107142857,10.71428571
